ten,gia,giong_nho,nha_san_xuat,quoc_gia,nong_do,dung_tich,loai_ruou,url
Rượu vang Pháp La Chablisienne Chablis Premier Cru Côte De Léchet 2021,1.875.500 ₫,Chardonnay,La Chablisienne,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/chablis-1er-cru-cote-de-lechet/
Rượu vang Pháp La Chablisienne Chablis Premier Cru Vaulorent 2019,2.167.000 ₫,Chardonnay,La Chablisienne,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/chablis-1er-cru-vaulorent-2019/
Rượu vang Pháp Chablis Grand Cru Bougros 2011,3.498.000 ₫,Chardonnay,La Chablisienne,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/chablis-grand-cru-bougros-2011/
Rượu vang Pháp La Chablisienne Chablis Grand Cru Les Preuses 2003,3.850.000 ₫,Chardonnay,La Chablisienne,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/chablis-grand-cru-les-preuses-2003/
Rượu Vang Pháp Louis Latour Chablis La Chanfleure,1.529.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-chablis-la-chanfleure/
Rượu vang Pháp Château Brown Blanc 2016,1.859.000 ₫,Blend,Château Brown,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/chateau-brown-blanc/
Rượu vang Pháp Château Brown Blanc 2020,1.991.000 ₫,Blend,Château Brown,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/chateau-brown-blanc-2020/
Rượu vang Pháp Château Cantelys Blanc 2018,1.980.000 ₫,Blend,Cathiard Family,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/chateau-cantelys-blanc/
Rượu vang Pháp Château Clou Du Pin Bordeaux Blanc,451.000 ₫,Blend,Domaines Fontana,Vang Pháp,12.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/chateau-clou-du-pin-bordeaux-blanc/
Rượu vang Pháp Château de Beaucastel Châteauneuf-Du-Pape Blanc 2022,5.984.000 ₫,Blend,Château de Beaucastel,Vang Pháp,14% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/chateau-de-beaucastel-chateauneuf-du-pape-blanc-2022/
Rượu vang Pháp Château de Beaucastel Châteauneuf-Du-Pape Blanc 2023,5.984.000 ₫,Blend,Château de Beaucastel,Vang Pháp,14% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/chateau-de-beaucastel-chateauneuf-du-pape-blanc-2023/
Rượu vang Pháp Château de Marsannay Marsannay Blanc 2018,2.129.600 ₫,Chardonnay,Château de Marsannay,Vang Pháp,14% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/chateau-de-marsannay-marsannay-blanc/
Rượu vang Pháp Château de Marsannay Marsannay Blanc 2019,2.129.600 ₫,Chardonnay,Château de Marsannay,Vang Pháp,14% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/chateau-de-marsannay-marsannay-blanc-2019/
Rượu vang Pháp La Chablisienne Château Grenouilles Chablis Grand Cru 2018,6.243.600 ₫,Chardonnay,La Chablisienne,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/chateau-grenouilles-chablis-grand-cru-2018/
Rượu vang Pháp La Chablisienne Château Grenouilles Chablis Grand Cru 2020,6.243.600 ₫,Chardonnay,La Chablisienne,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/chateau-grenouilles-chablis-grand-cru-2020/
Rượu vang Pháp La Chablisienne Château Grenouilles Chablis Grand Cru 2022,6.243.600 ₫,Chardonnay,La Chablisienne,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/la-chablisienne-chateau-grenouilles-chablis-grand-cru-2022/
Rượu vang Pháp Château Latour-Martillac Blanc 2019,2.475.000 ₫,Blend,Château Latour-Martillac,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/chateau-latour-martillac-blanc-2019/
Rượu vang Pháp Château Olivier Blanc 2019,2.662.000 ₫,Blend,Château Olivier,Vang Pháp,12% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/chateau-olivier-blanc-2019/
Rượu vang Pháp Clos Des Papes Châteauneuf-Du-Pape Blanc 2020,3.663.000 ₫,Blend,Clos Des Papes,Vang Pháp,14% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/clos-des-papes-chateauneuf-du-pape-blanc-2020/
Rượu vang Pháp Coudoulet de Beaucastel Blanc 2020,1.958.000 ₫,Blend,Famille Perrin,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/coudoulet-de-beaucastel-blanc-2020/
Rượu vang Pháp Coudoulet de Beaucastel Blanc 2021,1.958.000 ₫,Blend,Famille Perrin,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/coudoulet-de-beaucastel-blanc-2021/
Rượu vang Pháp Coudoulet de Beaucastel Blanc 2022,1.958.000 ₫,Blend,Famille Perrin,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/coudoulet-de-beaucastel-blanc-2022/
Rượu vang Pháp Domaine Weinbach Cuvée Sainte Catherine Riesling Schlossberg Alsace Grand Cru 2022,4.334.000 ₫,Riesling,Domaine Weinbach,Vang Pháp,14% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/cuvee-ste-catherine-riesling-schlossberg/
Rượu vang Pháp Domaine Weinbach Cuvée Sainte Catherine Riesling Schlossberg Alsace Grand Cru 2021,4.334.000 ₫,Riesling,Domaine Weinbach,Vang Pháp,14% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/cuvee-ste-catherine-riesling-schlossberg-2021/
Rượu vang Pháp Domaine Weinbach Fürstentum Gewürztraminer Grand Cru 2019,4.246.000 ₫,Gewürztraminer,Domaine Weinbach,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/domaine-weinbach-furstentum-gewurztraminer/
Rượu vang Pháp Domaine Weinbach Riesling,1.199.000 ₫,Riesling,Domaine Weinbach,Vang Pháp,13% ABV*,,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/domaine-weinbach-riesling/
Rượu vang Pháp Grands Terroirs Sauvignon Blanc,374.000 ₫,Sauvignon Blanc,Vignobles Dourthe,Vang Pháp,12% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/grands-terroirs-sauvignon-blanc/
Rượu vang Pháp Dufouleur Monopole Blanc,385.000 ₫,Blend,Maison Dufouleur Père et Fils,Vang Pháp,12% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/dufouleur-monopole-blanc/
Rượu Vang Pháp Dufouleur Père & Fils Chardonnay Vin De France,495.000 ₫,Chardonnay,Maison Dufouleur Père et Fils,Vang Pháp,12% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/dufouleur-pere-fils-chardonnay-vin-de-france/
Rượu vang Pháp Famille Perrin Côtes-du-Rhône Blanc Réserve,798.600 ₫,Blend,Famille Perrin,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/famille-perrin-cotes-du-rhone-blanc-reserve/
Rượu vang Pháp Famille Perrin Nature Côtes-du-Rhône Blanc,919.600 ₫,Blend,Famille Perrin,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/famille-perrin-nature-cotes-du-rhone-blanc/
Rượu vang Pháp L’esprit De Chevalier white 2016,1.815.000 ₫,Blend,Domaine de Chevalier,,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/lesprit-de-chevalier-white-2016/
Rượu vang Pháp La Chablisienne Chablis,1.282.600 ₫,Chardonnay,La Chablisienne,Vang Pháp,12.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/la-chablisienne-chablis/
Rượu vang Con Gà La Vieille Ferme Blanc,506.000 ₫,Blend,Famille Perrin,Vang Pháp,12.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/la-vieille-ferme-blanc/
Rượu vang Pháp Le Cabanon Viognier,654.500 ₫,Viognier,Maison Les Alexandrins,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/le-cabanon-viognier/
Rượu vang Pháp Le Petit Haut Lafitte Blanc 2017,2.343.000 ₫,Blend,Château Smith Haut Lafitte,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/le-petit-haut-lafitte-blanc-2017/
Rượu vang Pháp Les Terrasses De L’eridan Côtes Du Rhône Blanc,654.500 ₫,Blend,Maison Les Alexandrins,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/les-terrasses-de-leridan-cotes-du-rhone-blanc/
Rượu vang Pháp Les Treilles du Loup Gewurztraminer 2020,1.996.500 ₫,Gewürztraminer,Domaine Weinbach,Vang Pháp,14% ABV*,,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/les-treilles-du-loup-gewurztraminer-2020/
Rượu vang Pháp Louis Latour Chassagne-Montrachet Baudines 2020,5.060.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-chassagne-montrachet-baudines-2020/
Rượu vang Pháp Louis Latour Chassagne-Montrachet Cailleret 2020,5.665.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-chassagne-montrachet-cailleret-2020/
Rượu vang Pháp Louis Latour Criots-Bâtard-Montrachet Grand Cru 2016,21.417.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,14% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-criots-batard-montrachet-grand-cru-2016/
Rượu vang Pháp Louis Latour Chassagne-Montrachet La Grande Montagne 2019,5.360.300 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-chassagne-montrachet-la-grande-montagne-2019/
Rượu vang Pháp Louis Latour Chassagne-Montrachet Les Chenevottes 2020,5.060.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-chassagne-montrachet-les-chenevottes-2020/
Rượu vang Pháp Louis Latour Chassagne-Montrachet Les Chenevottes 2021,5.060.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-chassagne-montrachet-les-chenevottes-2021/
Rượu vang Pháp Louis Latour Corton-Charlemagne Grand Cru 2016,10.527.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,14% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/corton-charlemagne-louis-latour/
Rượu vang Pháp Louis Latour Corton-Charlemagne Grand Cru 2018,10.527.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,14% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-corton-charlemagne-grand-cru-2018/
Rượu vang Pháp Louis Latour Corton-Charlemagne Grand Cru 2020,10.527.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,14% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-corton-charlemagne-grand-cru-2020/
Rượu vang Pháp Louis Latour Meursault Goutte d’Or 2019,4.862.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-meursault-goutte-dor-2019/
Rượu vang Pháp Louis Latour Meursault-Blagny 2003,6.122.600 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-meursault-blagny-2003/
Rượu vang Pháp Louis Latour Meursault-Charmes 2018,5.360.300 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-meursault-charmes-2018/
Rượu vang Pháp Louis Latour Meursault-Charmes 2019,5.360.300 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-meursault-charmes-2019/
Rượu vang Pháp Louis Latour Meursault-Charmes 2020,5.360.300 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-meursault-charmes-2020/
Rượu vang Pháp Louis Latour Meursault-Genevrières Premier Cru 2019,5.360.300 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-meursault-genevrieres-2019/
Rượu vang Pháp Louis Latour Meursault-Genevrières Premier Cru 2020,5.360.300 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-meursault-genevrieres-premier-cru-2020/
Rượu vang Pháp Louis Latour Meursault-Poruzots 2019,4.755.300 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-meursault-poruzots-2019/
Rượu vang Pháp Louis Latour Macon-Lugny Les Genièvres,979.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-macon-lugny-les-genievres/
Rượu vang Pháp Maison Les Alexandrins Condrieu Blanc 2019,2.266.000 ₫,Viognier,Maison Les Alexandrins,Vang Pháp,14% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/maison-les-alexandrins-condrieu-blanc-2019/
Rượu vang Pháp Maison Les Alexandrins Condrieu Blanc 2023,2.266.000 ₫,Viognier,Maison Les Alexandrins,Vang Pháp,14% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/maison-les-alexandrins-condrieu-blanc-2023/
Rượu vang Pháp Maison Les Alexandrins Crozes-Hermitage Blanc,1.177.000 ₫,Blend,Maison Les Alexandrins,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/maison-les-alexandrins-crozes-hermitage-blanc/
Rượu vang Pháp Maison Les Alexandrins Hermitage Blanc 2018,2.398.000 ₫,Blend,Maison Les Alexandrins,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/maison-les-alexandrins-hermitage-blanc/
Rượu vang Pháp Maison Les Alexandrins Hermitage Blanc 2021,2.398.000 ₫,Blend,Maison Les Alexandrins,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/maison-les-alexandrins-hermitage-blanc-2021/
Rượu vang Pháp Maison Les Alexandrins Saint-Joseph Blanc,1.282.600 ₫,Marsanne,Maison Les Alexandrins,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/maison-les-alexandrins-saint-joseph-blanc/
Rượu vang Pháp Marcel Deiss Altenberg Bergheim Grand Cru 2011,3.327.500 ₫,Blend,Domaine Marcel Deiss,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/marcel-deiss-altenberg-bergheim/
Rượu vang Pháp Marcel Deiss Altenberg Bergheim Grand Cru 2016,3.327.500 ₫,Blend,Domaine Marcel Deiss,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/marcel-deiss-altenberg-bergheim-2016/
Rượu vang Pháp Marcel Deiss Berckem,1.265.000 ₫,Blend,Domaine Marcel Deiss,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/marcel-deiss-berckem/
Rượu vang Pháp Marcel Deiss Mambourg 2018,3.564.000 ₫,Blend,Domaine Marcel Deiss,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/marcel-deiss-mambourg-2018/
Rượu vang Pháp Marcel Deiss Rotenberg Cru d’Alsace La Colline Rouge 2016,1.529.000 ₫,Blend,Domaine Marcel Deiss,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/marcel-deiss-rotenberg/
Rượu vang Pháp Marcel Deiss Schoenenbourg 2015,3.729.000 ₫,Riesling,Domaine Marcel Deiss,Vang Pháp,12.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/marcel-deiss-schoenenbourg/
Rượu vang Pháp Louis Latour Marsannay Blanc 2016,1.391.500 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-marsannay-blanc/
Rượu vang Pháp Meursault Clos De La Barre Domaine Des Comtes Lafon 2017,17.831.000 ₫,Chardonnay,Domaine Des Comtes Lafon,Vang Pháp,12.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/meursault-clos-de-la-barre-domaine-des-comtes-lafon/
Rượu vang Pháp Meursault Domaine Des Comtes Lafon 2017,15.840.000 ₫,Chardonnay,Domaine Des Comtes Lafon,Vang Pháp,12.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/meursault-domaine-des-comtes-lafon/
Rượu vang Pháp Louis Latour Meursault Perrières Premier Cru 2020,5.907.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/meursault-perrieres-premier-cru-louis-latour-2020/
Rượu vang Pháp Meursault-Gouttes D’or Premier Cru Domaine Des Comtes Lafon 2017,28.347.000 ₫,Chardonnay,Domaine Des Comtes Lafon,Vang Pháp,12.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/meursault-gouttes-dor-premier-cru-domaine-des-comtes-lafon/
Rượu vang Pháp Meursault-Porusots Premier Cru Domaine Des Comtes Lafon 2017,26.620.000 ₫,Chardonnay,Domaine Des Comtes Lafon,Vang Pháp,12.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/meursault-porusots-premier-cru-domaine-des-comtes-lafon/
Rượu vang Pháp Louis Latour Montagny 1er Cru La Grande Roche 2022,1.837.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-montagny-1er-cru-la-grande-roche-2022/
Rượu vang Pháp Louis Latour Montagny 1er Cru La Grande Roche 2023,1.837.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-montagny-1er-cru-la-grande-roche-2023/
Rượu vang Pháp Louis Latour Pernand-Vergelesses 1er Cru En Caradeux 2020,2.057.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,14% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-pernand-vergelesses-en-caradeux/
Rượu vang Pháp Louis Latour Pernand-Vergelesses 1er Cru En Caradeux 2021,2.057.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,14% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-pernand-vergelesses-1er-cru-en-caradeux-2021/
Rượu vang Pháp Louis Latour Pernand-Vergelesses 1er Cru En Caradeux 2023,2.057.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,14% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-pernand-vergelesses-1er-cru-en-caradeux-2023/
Rượu vang Pháp La Chablisienne Petit Chablis Pas Si Petit,1.017.500 ₫,Chardonnay,La Chablisienne,Vang Pháp,12.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/petit-chablis-pas-si-petit/
Rượu vang Pháp La Chablisienne Petit Chablis Vibrant,1.309.000 ₫,Chardonnay,La Chablisienne,Vang Pháp,12.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/petit-chablis-vibrant/
Rượu vang Pháp Louis Latour Pouilly-Fuissé 2021,1.804.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-pouilly-fuisse-2021/
Rượu vang Pháp Louis Latour Pouilly-Fuissé 2022,1.804.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-pouilly-fuisse-2022/
Rượu vang Pháp Louis Latour Pouilly-Fuissé 2023,1.804.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-pouilly-fuisse-2023/
Rượu Vang Pháp Louis Latour Montrachet Grand Cru 2011,24.035.000 ₫,Chardonnay,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/louis-latour-montrachet-grand-cru-2011/
Rượu vang Pháp Puligny-Montrachet Cuvée De Maizière 2020,4.428.600 ₫,Chardonnay,Château de Marsannay,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/puligny-montrachet-cuvee-de-maiziere/
Rượu vang Pháp Chablis William Fevre (SEA Edition) 2020,1.694.000 ₫,Chardonnay,William Fevre,Vang Pháp,12.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/chablis-william-fevre-sea-edition/
Rượu vang Pháp Chablis William Fevre (SEA Edition) 2021,1.694.000 ₫,Chardonnay,William Fevre,Vang Pháp,12.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/chablis-william-fevre-sea-edition-2021/
Rượu vang Pháp William Fevre Chablis 2020,1.540.000 ₫,Chardonnay,William Fevre,Vang Pháp,12.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/william-fevre-chablis/
Rượu vang Pháp William Fevre Chablis 2022,1.540.000 ₫,Chardonnay,William Fevre,Vang Pháp,12.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/william-fevre-chablis-2022/
Rượu vang Pháp William Fevre Chablis 2023,1.540.000 ₫,Chardonnay,William Fevre,Vang Pháp,12.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/william-fevre-chablis-2023/
Rượu vang Pháp William Fevre Chablis Grand Cru Bougros 2017,3.960.000 ₫,Chardonnay,William Fevre,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/william-fevre-chablis-grand-cru-bougros-2017/
Rượu vang Pháp William Fevre Chablis Grand Cru Bougros 2019,3.960.000 ₫,Chardonnay,William Fevre,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/ruou-vang-phap-william-fevre-chablis-grand-cru-bougros-2019/
Rượu vang Pháp William Fevre Chablis Grand Cru Les Preuses 2018,5.181.000 ₫,Chardonnay,William Fevre,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/william-fevre-chablis-grand-cru-les-preuses-2018/
Rượu vang Pháp William Fevre Chablis Grand Cru Les Preuses 2020,5.181.000 ₫,Chardonnay,William Fevre,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/william-fevre-chablis-grand-cru-les-preuses-2020/
Rượu vang Pháp William Fevre Chablis Premier Cru Beauroy 2019,3.476.000 ₫,Chardonnay,William Fevre,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/william-fevre-chablis-premier-cru-beauroy-2019/
Rượu vang Pháp William Fevre Chablis Premier Cru Beauroy 2020,3.476.000 ₫,Chardonnay,William Fevre,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/william-fevre-chablis-premier-cru-beauroy-2020/
Rượu vang Pháp William Fevre Chablis Premier Cru Montée De Tonnerre 2018,3.509.000 ₫,Chardonnay,William Fevre,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/william-fevre-chablis-premier-cru-montee-de-tonnerre-2018/
Rượu vang Pháp William Fevre Chablis Premier Cru Vaulorent 2016,3.476.000 ₫,Chardonnay,William Fevre,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/william-fevre-chablis-premier-cru-vaulorent-2016/
Rượu vang Pháp William Fevre Chablis Premier Cru Vaulorent 2019,3.476.000 ₫,Chardonnay,William Fevre,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/william-fevre-chablis-premier-cru-vaulorent-2019/
Rượu vang Pháp William Fevre Petit Chablis,1.331.000 ₫,Chardonnay,William Fevre,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/william-fevre-petit-chablis/
Rượu vang Pháp William Fevre Chablis Premier Cru Montmains 2020,2.387.000 ₫,Chardonnay,William Fevre,Vang Pháp,13% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/william-fevre-chablis-premier-cru-montmains-2020/
Rượu vang Pháp William Fevre Saint-Bris,1.089.000 ₫,Sauvignon Blanc,William Fevre,Vang Pháp,12% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/william-fevre-saint-bris/
Rượu vang Pháp Yvecourt Bordeaux Blanc,572.000 ₫,Sauvignon Blanc,Yvon Mau,Vang Pháp,12.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/ruou-vang-phap/yvecourt-bordeaux-blanc-2022/
Rượu vang Tây Ban Nha Faustino Rivero Ulecia Albarino,847.000 ₫,Albarino,Marqués del Atrio,Vang Tây Ban Nha,12.5% ABV*,750ml,Rượu Vang Trắng,https://winecellar.vn/vang-tay-ban-nha/faustino-rivero-ulecia-albarino/
