ten,gia,giong_nho,nha_san_xuat,quoc_gia,nong_do,dung_tich,loai_ruou,url
Rượu Vang Pháp Domaine Faiveley Corton Clos Des Cortons Faiveley Monopole Grand Cru 2010,23.958.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-corton-clos-des-cortons-faiveley-monopole-grand-cru-2010/
Rượu Vang Pháp Domaine Faiveley Corton Clos Des Cortons Faiveley Monopole Grand Cru 2012,19.569.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-corton-clos-des-cortons-faiveley-monopole-grand-cru-2012/
Rượu Vang Pháp Domaine Faiveley Corton Clos Des Cortons Faiveley Monopole Grand Cru 2015,21.164.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-corton-clos-des-cortons-faiveley-monopole-grand-cru-2015/
Rượu Vang Pháp Domaine Faiveley Corton Clos Des Cortons Faiveley Monopole Grand Cru 2020,15.439.600 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-corton-clos-des-cortons-faiveley-monopole-grand-cru-2020/
Rượu Vang Pháp Domaine Faiveley Corton Clos Des Cortons Faiveley Monopole Grand Cru 2021,15.439.600 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-corton-clos-des-cortons-faiveley-monopole-grand-cru-2021/
Rượu Vang Pháp Domaine Faiveley Charmes Chambertin Grand Cru 2013,16.258.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-charmes-chambertin-grand-cru-2013/
Rượu Vang Pháp Domaine Faiveley Charmes Chambertin Grand Cru 2018,16.258.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-charmes-chambertin-grand-cru-2018/
Rượu Vang Pháp Joseph Faiveley Charmes-Chambertin Grand Cru 2021,16.258.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/joseph-faiveley-charmes-chambertin-grand-cru-2021/
Rượu Vang Pháp Domaine Faiveley Clos De Vougeot Grand Cru 2021,16.929.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-clos-de-vougeot-grand-cru-2021/
Rượu Vang Pháp Domaine Faiveley Echezeaux “En Orveaux” Grand Cru 2018,16.929.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-echezeaux-en-orveaux-grand-cru-2018/
Rượu Vang Pháp Domaine Faiveley Echezeaux “En Orveaux” Grand Cru 2021,16.929.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-echezeaux-en-orveaux-grand-cru-2021/
Rượu Vang Pháp Domaine Faiveley Echezeaux “En Orveaux” Grand Cru 2022,16.929.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-echezeaux-en-orveaux-grand-cru-2022/
Rượu Vang Pháp Domaine Faiveley Latricières Chambertin Grand Cru 2003,24.882.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-latricieres-chambertin-grand-cru-2003/
Rượu Vang Pháp Domaine Faiveley Latricières Chambertin Grand Cru 2017,17.171.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-latricieres-chambertin-grand-cru-2017/
Rượu Vang Pháp Domaine Faiveley Mazis Chambertin Grand Cru 2006,22.495.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-mazis-chambertin-grand-cru-2006/
Rượu Vang Pháp Domaine Faiveley Clos De Vougeot Grand Cru 2010,20.559.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-clos-de-vougeot-grand-cru-2010/
Rượu Vang Pháp Domaine Faiveley Chambertin Clos De Bèze Grand Cru 2021,30.310.500 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-chambertin-clos-de-beze-grand-cru-2021/
